name;WoSline;author;title;journal;year
MUNOZ_D(2017):131;83273;Munoz, DJ; Achieving energy efficiency using a Software Product Line Approach;*****;2017
SHANMUGA_M(2017):269;83349;Shanmugam, M; A Comparitive Study on Traditonal Healthcare System and Present Healthcare System Using Cloud Computing and Big data;*****;2017
SKLYAR_V(2017)105:3;83401;Sklyar, V; Vedic Mathematics as Fast Algorithms in green_computing for Internet of Things;STUD SYST DECIS CONT;2017
TYURIN_S(2017)105:241;83465;Tyurin, S; Green Logic: Green LUT FPGA Concepts, Models and Evaluations;STUD SYST DECIS CONT;2017
AHMED_I(2016)7:160;83519;Ahmed, I; Identifying Green Services using GSLA Model for Achieving Sustainability in Industries;INT J ADV COMPUT SC;2016
D'AMBROS_S(2016)11:63;83587;D'Ambrosio, S; Energy consumption and privacy in mobile Web browsing: Individual issues and connected solutions;SUSTAIN COMPUT-INFOR;2016
RASHKOVI_R(2016)19:323;83692;Rashkovits, R; Preference-based content replacement using recency-latency tradeoff;WORLD WIDE WEB;2016
BOUCHARE_N(2016)7:163;83761;Bouchareb, N; Resource management policies to increase provider's gain in a cloud coalition;INT J GRID UTIL COMP;2016
BUI_D(2016):147;83844;Bui, DM; Energy Savings in Processor Based on Prediction Technique;*****;2016
CAGLAR_I(2016):240;83909;Caglar, I; An Energy Efficient VM Allocation Approach for Data Centers;*****;2016
CASALICC_E(2016):349;83972;Casalicchio, E; An energy-aware adaptation model for Big Data platforms;PR INT CONF AUTONOM;2016
CHOPRA_A(2016):3209;84029;Chopra, A; Need of green_computing to improve environmental condition in current era;*****;2016
DUTTA_S(2016):50;84090;Dutta, S; green_computing: A Greener Approach towards IT;*****;2016
ENOKIDO_T(2016):231;84152;Enokido, T; The Improved Redundant Delay Time-Based (IRDTB) Algorithm to Perform Computation Type Application Processes in Heterogeneous Server Clusters;INT C NETWB INFO;2016
DEVEGA_F(2016)9921:548;84214;de Vega, FF; A Cross-Platform Assessment of Energy Consumption in Evolutionary Algorithms Towards Energy-Aware Bioinspired Algorithms;LECT NOTES COMPUT SC;2016
GUPTA_P(2016):;84301;Gupta, PK; Per-C Based green_computing Model for Handheld Devices: An Application of Single Person FOU;IEEE SYS MAN CYBERN;2016
HACHICHA_E(2016)10033:437;84388;Hachicha, E; Energy Efficient Configurable Resource Allocation in Cloud-Based Business Processes;LECT NOTES COMPUT SC;2016
KAMALI_S(2016)9511:84;84534;Kamali, S; Efficient Bin Packing Algorithms for Resource Provisioning in the Cloud;LECT NOTES COMPUT SC;2016
KAR_I(2016):3545;84594;Kar, I; Energy Aware Scheduling using Genetic Algorithm in Cloud Data Centers;*****;2016
LU_Y(2016):5635673;84650;Lu, Y; RVLBPNN: A Workload Forecasting Model for Smart Cloud Computing;SCI PROGRAMMING-NETH;2016
SETZ_B(2016):409;84728;Setz, B; Power Management of Personal Computers based on User Behaviour;*****;2016
SHARMA_M(2016):1421;84800;Sharma, M; Energy analysis of symbiotic organisms search optimization based task scheduling algorithm;*****;2016
SHOJAFAR_M(2016):21;84864;Shojafar, M; Resource Scheduling for Energy-Aware Reconfigurable Internet Data Centers;ADV SYST ANAL SOFTW;2016
SKENDZIC_A(2016):1587;84962;Skendzic, A; Effectiveness analysis of using Solid State Disk technology;*****;2016
SURESH_K(2016)21:184;85021;Suresh, K; Towards Effective Communication Technique for Energy Efficient Internet of Things;INT J ENG RES AFR;2016
TRAN_V(2016):1041;85088;Tran, VNN; ICE: A General and Validated Energy Complexity Model for Multithreaded Algorithms;INT C PAR DISTRIB SY;2016
ZHAI_J(2016):335;85175;Zhai, JH; Energy-efficient Hadoop Green Scheduler;*****;2016
CHEN_X(2015)3:534;85235;Chen, XD; Cloud Computing for VLSI Floorplanning Considering Peak Temperature Reduction;IEEE T EMERG TOP COM;2015
PARK_S(2015)7:5321;85322;Park, S; A Generic Software Development Process Refined from Best Practices for Cloud Computing;SUSTAINABILITY-BASEL;2015
ANDRO-VA_J(2015):473;85391;Andro-Vasko, J; Evaluation of Online Power-Down Algorithms;*****;2015
CHANG_Y(2015)274:1345;85451;Chang, YC; green_computing: An SLA-based Energy-aware Methodology for Data Centers;FRONT ARTIF INTEL AP;2015
COSTLEY_J(2015)48:73;85530;Costley, J; Leveraging the Standards Life Cycle for green_IT;COMPUTER;2015
DOLWITHA_B(2015):154;85577;Dolwithayakul, B; Green Public Computer Lab using Single-Board Computer and Interactive Computer Reservation System.;*****;2015
ENOKIDO_T(2015):275;85630;Enokido, T; Power Consumption Model of a Server to Perform Communication Type Application Processes on Virtual Machines;*****;2015
ENOKIDO_T(2015):32;85692;Enokido, T; An Energy-Efficient Load Balancing Algorithm to Perform Computation Type Application Processes for Virtual Machine Environments;INT C NETWB INFO;2015
KAMENSKI_A(2015):75;85824;Kamenskih, AN; Advanced Approach to Development of Energy-Aware and Naturally Reliable Computing Systems;IEEE NW RUSS YOUNG;2015
SHARMA_C(2015):240;85876;Sharma, C; PV BASED green_computing SYSTEM FOR ICT SUSTAINABLE DEVELOPMENT;*****;2015
SHARMA_O(2015):737;85926;Sharma, O; Experimental Analysis of Energy Management Techniques for Mobile Devices Using Cloud Computing;*****;2015
SHUTTLEW_P(2015):365;85989;Shuttleworth, PH; Cloud and Energy Management - Issues and Concerns;*****;2015
SINGH_J(2015)62:385;86052;Singh, J; Impact of Developer Choices on Energy Consumption of Software on Servers;PROCEDIA COMPUT SCI;2015
ZALEWSKI_J(2015):95;86116;Zalewski, J; Developing a Green Computer Science Program;IEEE GREEN TECHNOL;2015
MITTAL_S(2014)23:S0218126614501473;86182;Mittal, S; EnCache: A DYNAMIC PROFILING-BASED RECONFIGURATION TECHNIQUE FOR IMPROVING CACHE ENERGY EFFICIENCY;J CIRCUIT SYST COMP;2014
DEKA_G(2014)16:54;86288;Deka, GC; Cost-Benefit Analysis of Datacenter Consolidation Using Virtualization;IT PROF;2014
ENOKIDO_T(2014)42:798;86352;Enokido, T; Energy-Efficient Redundant Execution of Processes in a Fault-Tolerant Cluster of Servers;INT J PARALLEL PROG;2014
ENOKIDO_T(2014)69:1087;86424;Enokido, T; Energy-Efficient Server Clusters to Perform Communication Type Application Processes;J SUPERCOMPUT;2014
JIANG_H(2014)E97D:1727;86499;Jiang, HP; Dynamic Consolidation of Virtual Machines in Cloud Datacenters;IEICE T INF SYST;2014
NETTO_J(2014)12:668;86558;Netto, JE; Analysis of Energy Consumption Using HTTP and FTP Protocols Over IEEE 802.11;IEEE LAT AM T;2014
AHMARO_I(2014):341;86625;Ahmaro, IYY; The Current Practices of green_computing Approaches in Malaysia;I C INF TECH MULTIM;2014
ARSUAGA-_M(2014):127;86683;Arsuaga-Rios, M; Energy Optimization for Task Scheduling in Distributed Systems by an Artificial Bee Colony Approach;WOR CONG NAT BIOL;2014
CAI_X(2014)255:477;86749;Cai, XB; An Energy Efficiency Model Based on QoS in Cloud Computing;ADV INTELL SYST;2014
DISTEFAN_S(2014):274;86806;Distefano, S; Using DRBD in the Design of Redundant Distributed Computing System;*****;2014
HANS_R(2014):148;86878;Hans, RT; Using a Biometric System to Control Access and Exit of Vehicles at Shopping Malls in South Africa;*****;2014
HASAN_M(2014):248;86931;Hasan, MS; Cloud Energy Broker: Towards SLA-driven Green Energy Planning for IaaS Providers;*****;2014
KAMARAJ_A(2014):249;87001;Kamaraj, A; Design of Router using Reversible Logic in Quantum Cellular Automata;*****;2014
KUMAR_A(2014):869;87063;Kumar, ARA; Greening 4-4,1-4 data center network: A greedy approach for finding an energy efficient sub-network;INT CONF CLOUD COMP;2014
LOPEZ_D(2014):;87131;Lopez, D; A Methodology to Introduce Sustainability into the Final Year Project to Foster Sustainable Engineering Projects;PROC FRONT EDUC CONF;2014
PAWLISH_M(2014):;87195;Pawlish, M; GreenDSS Tool for Data Center Management;*****;2014
PECERO_J(2014)8377:366;87262;Pecero, JE; Energy Savings on a Cloud-Based Opportunistic Infrastructure;LECT NOTES COMPUT SC;2014
SHARMA_S(2014):;87342;Sharma, SU; Virtualization Approach to Reduce Network Latency for Thin Client Performance Optimization in Cloud Computing Environment;INT CONF COMP COMMUN;2014
UDDIN_M(2014)73:11;87398;Uddin, M; Metrics for Computing Performance of Data Center for Instigating Energy Efficient Data Centers;J SCI IND RES INDIA;2014
YE_B(2014):140;87460;Ye, B; Mirroring Mobile Phone in the Clouds;IEEE INT CONF MO;2014
KIM_W(2013)7:2097;87534;Kim, W; Reducing Resource Over-Provisioning Using Workload Shaping for Energy Efficient Cloud Computing;APPL MATH INFORM SCI;2013
LIAO_M(2013)52:1293;87599;Liao, MY; Energy efficiency based on high performance particle swarm optimization: a case study;TELECOMMUN SYST;2013
CHAE_Y(2013):123;87719;Chae, YN; Vision-based Sleep Mode Detection for a Smart TV;IEEE ICCE;2013
CHEN_H(2013):777;87767;Chen, HK; ERES: An Energy-Aware Real-Time Elastic Scheduling Algorithm in Clouds;*****;2013
ENOKIDO_T(2013):336;87837;Enokido, T; Differentiating the Starting Time of Processes in Energy-Efficient Redundant Execution Algorithm;*****;2013
ITANI_W(2013):103;87905;Itani, W; Accountable Energy Monitoring for Green Service Routing in the Cloud;INT CONF COMM INF T;2013
NAIK_N(2013):687;88059;Naik, NN; Achieving green_computing by effective utilization of Cloud resources using a Cloud OS;INT C TREND COMPUT C;2013
WEN_C(2013):2591;88118;Wen, CJ; Power and Performance Management via Model Predictive Control for Virtualized Cluster Computing;CHIN CONTR CONF;2013
ALHADDAD_M(2012):;88173;Al Haddad, M; Green Arithmetic Logic Unit;INT CONF ENERG AWARE;2012
CHIHI_H(2012):341;88230;Chihi, H; Unsupervised neural predictor to auto-administrate the cloud infrastructure;INT CONF UTIL CLOUD;2012
GUEYE_S(2012):353;88296;Gueye, SMK; Discrete control for the coordination of administration loops (extended abstract);INT CONF UTIL CLOUD;2012
JOSHI_A(2012):;88363;Joshi, A; A Multi-layer Approach to green_computing: Designing Energy-efficient Digital Circuits and Manycore Architectures;*****;2012
MAHALING_P(2012):337;88411;Mahalingam, PR; A Framework for Optimizing GCC for ARM Architecture;*****;2012
YUAN_H(2012):644;88480;Yuan, H; Design of Energy-Efficient Video Sharing Servers with Delay Constraints;INT C PAR DISTRIB SY;2012
PRUHS_K(2011)1:165;88558;Pruhs, K; Introduction to special issue on theoretical aspects of green_computing;SUSTAIN COMPUT-INFOR;2011
CHE_D(2011)166:714;88596;Che, DR;" A Novel ""Credit Union"" Model of Cloud Computing";COMM COM INF SC;2011
HU_J(2011)50-51:733;88662;Hu, JL; Research on Generalized green_computing;APPL MECH MATER;2011
WANG_Y(2010)7:132;88721;Wang, YF; Joint Communication and Processor Frequency Selection for Low-Energy Systems under Timing Constraints;CHINA COMMUN;2010
DEALFONS_C(2010):39;88771;de Alfonso, C; EFFICIENT POWER MANAGEMENT IN HIGH PERFORMANCE COMPUTER CLUSTERS;*****;2010
CHANG_R(2009)5899:1;88840;Chang, RS; Computer Science: Where Is the Next Frontier?;LECT NOTES COMPUT SC;2009
TAKAHASH_A(2009)45:3;88916;Takahashi, A; Fujitsu Group's Environmental Policy and Activities;FUJITSU SCI TECH J;2009
MARSHALL_W(1996):343;88960;Marshall, WD; Geographic information_system for sustainable development: South Carolina's Edisto River Basin project;BEL BAR LIB;1996
PRAMANIK_P(2019)20:259;89000;Pramanik, PKD; GREEN AND SUSTAINABLE HIGH-PERFORMANCE COMPUTING WITH SMARTPHONE CROWD COMPUTING: BENEFITS, ENABLERS, AND CHALLENGES;SCALABLE COMPUT-PRAC;2019
SIDDIQUI_I(2019)106:179;89119;Siddiqui, IF; Edge-Node-Aware Adaptive Data Processing Framework for Smart Grid;WIRELESS PERS COMMUN;2019
JEONG_H(2019)107:765;89193;Jeong, H; Energy-Adaptive Error Correcting for Dynamic and Heterogeneous Networks;P IEEE;2019
KASHYAP_P(2019)8:electronics8040384;89347;Kashyap, PK; green_computing in Sensors-Enabled Internet of Things: Neuro Fuzzy Logic-Based Load Balancing;ELECTRONICS-SWITZ;2019
MUKHERJE_A(2019)6:3156;89453;Mukherjee, A; Blind Entity Identification for Agricultural IoT Deployments;IEEE INTERNET THINGS;2019
PRAKASH_B(2019)23:2789;89534;Prakash, B; A hybrid genetic artificial neural network (G-ANN) algorithm for optimization of energy component in a wireless mesh network toward green computing;SOFT COMPUT;2019
DAS_B(2019)32:3891;89611;Das, BC; Approach to problem of minimizing network power consumption based on robust optimization;INT J COMMUN SYST;2019
DEALFONS_C(2019)17:191;89698;de Alfonso, C; Multi-elastic Datacenters: Auto-scaled Virtual Clusters on Energy-Aware Physical Infrastructures;J GRID COMPUT;2019
MEDHAT_R(2019)30:560;89802;Medhat, R; Energy-Efficient Multiple Producer-Consumer;IEEE T PARALL DISTR;2019
SONG_J(2019)21:80;89877;Song, J; Energy efficiency optimization in big data processing platform by improving resources utilization;SUSTAIN COMPUT-INFOR;2019
USMAN_M(2019)16:354;89967;Usman, MJ; Energy-efficient Virtual Machine Allocation Technique Using Flower Pollination Algorithm in Cloud Datacenter: A Panacea to green_computing;J BIONIC ENG;2019
LI_F(2019)150:266;90071;Li, F; green_computing in Wireless Sensor Networks;COMPUT NETW;2019
BOUKERCH_A(2019)52:3286688;90120;Boukerche, A; Sustainable Offloading in Mobile Cloud Computing: Algorithmic Design and Implementation;ACM COMPUT SURV;2019
ANUSOOYA_G(2019)36:4341;90310;Anusooya, G; Reducing the carbon emission by early prediction of peak time load in a data center;J INTELL FUZZY SYST;2019
CHANDRA_T(2019)731:93;90393;Chandra, TB; Impact of Programming Languages on Energy Consumption for Sorting Algorithms;ADV INTELL SYST;2019
ENOKIDO_T(2019)22:156;90463;Enokido, T; The Improved Transmission Energy Consumption Laxity Based (ITECLB) Algorithm for Virtual Machine Environments;LECT NOTE DATA ENG;2019
FARHAN_L(2019)7:56617;90528;Farhan, L; Toward Interference Aware IoT Framework: Energy and Geo-Location-Based-Modeling;IEEE ACCESS;2019
MAITY_M(2019)32:94;90620;Maity, M; Explaining normative behavior in information_technology use;INFORM TECHNOL PEOPL;2019
YAN_X(2019)58:89;90755;Yan, XH; Generalized general access structure in secret image sharing;J VIS COMMUN IMAGE R;2019
ARDAGNA_D(2018)11:a11120200;90836;Ardagna, D; Special Issue on Algorithms for the Resource Management of Large Scale Infrastructures;ALGORITHMS;2018
LI_G(2018)15:199;90886;Li, G; Toward Energy-Efficiency Optimization of Pktgen-DPDK for Green Network Testbeds;CHINA COMMUN;2018
RANI_S(2018)18:s18113980;90957;Rani, S; A Novel Framework and Enhanced QoS Big Data Protocol for Smart City Applications;SENSORS-BASEL;2018
YOU_C(2018)17:7590;91027;You, CS; Asynchronous Mobile-Edge Computation Offloading: Energy-Efficient Resource Management;IEEE T WIREL COMMUN;2018
ANTHONY_B(2018)24:7707;91124;Anthony, B; Exploring Green information_technology Implementation in Collaborative Enterprise;ADV SCI LETT;2018
ALVAREZ_J(2018)15:635;91203;Alvarez, JD; A Fuzzy Rule-Based System to Predict Energy Consumption of Genetic Programming Algorithms;COMPUT SCI INF SYST;2018
HASAN_R(2018)24:7777;91312;Hasan, RA; Dynamic Load Balancing Model Based on Server Status (DLBS) for Green Computing;ADV SCI LETT;2018
PUIG_M(2018)18:153;91406;Puig, MP; Are GPUs Non-green_computing Devices?;J COMPUT SCI TECHNOL;2018
SOLTANE_M(2018)5:1;91468;Soltane, M; Smart Configuration and Auto Allocation of Resource in Cloud Data Centers;INT J BUS ANAL;2018
HU_C(2018)19:165;91542;Hu, C; Fast resource scaling in elastic clusters with an agile method for demand estimation;SUSTAIN COMPUT-INFOR;2018
WANG_C(2018)19:123;91645;Wang, C; Energy-agile design for parallel HPC applications;SUSTAIN COMPUT-INFOR;2018
LEE_S(2018)12:3322;91721;Lee, S; Sleep Mode Detection for Smart TV using Face and Motion Detection;KSII T INTERNET INF;2018
AZIATI_H(2018)24:4594;91778;Aziati, HN; Assessing the Factors of green_computing Adoption Among Manufacturing Employees: An Analysis of the Electrical and Electronic Sector;ADV SCI LETT;2018
CALLAU-Z_M(2018)18:163;91880;Callau-Zori, M; An experiment-driven energy consumption model for virtual machine management systems;SUSTAIN COMPUT-INFOR;2018
ESTEBAN_F(2018)61:912;91978;Esteban, FJ; MC64-Cluster: Many-Core CPU Cluster Architecture and Performance Analysis in B-Tree Searches;COMPUT J;2018
KANSAL_N(2018)21:1311;92097;Kansal, NJ; An empirical evaluation of energy-aware load balancing technique for cloud data center;CLUSTER COMPUT;2018
VARATHAR_R(2018)18:78;92186;Varatharajan, R; Introduction to special issue on green_computing Techniques for Wireless Sensor Networks;SUSTAIN COMPUT-INFOR;2018
MACCIO_V(2018)121:48;92234;Maccio, VJ; Structural properties and exact analysis of energy-aware multiserver queueing systems with setup times;PERFORM EVALUATION;2018
ALVES_S(2018)16:1042;92325;Alves, SE; Green Robotics: Concepts, Challenges, and Strategies;IEEE LAT AM T;2018
MIRANSKY_A(2018)30:1915;92422;Miranskyy, AV; Database engines: Evolution of greenness;J SOFTW-EVOL PROC;2018
NIEMI_T(2018)81:103;92514;Niemi, T; Towards Green Big Data at CERN;FUTURE GENER COMP SY;2018
AHMED_A(2018)9:304;92683;Ahmed, AI; Understanding the Factors Affecting the Adoption of green_computing in the Gulf Universities;INT J ADV COMPUT SC;2018
SHEME_E(2018)17:96;92764;Sheme, E; Feasibility of using renewable energy to supply data centers in 60 degrees north latitude;SUSTAIN COMPUT-INFOR;2018
MAROTTA_A(2018)130:65;92849;Marotta, A; A Joint Power Efficient Server and Network Consolidation approach for virtualized data centers;COMPUT NETW;2018
ABUGABAH_A(2018):6;92941;Abugabah, A; green_computing: Awareness and Practices;*****;2018
ALSENANI_Y(2018):121;92996;Alsenani, Y; SaRa: A Stochastic Model to Estimate Reliability of Edge Resources in Volunteer Cloud;*****;2018
ATIEWI_S(2018):3284738;93057;Atiewi, S; Impact of Virtualization on Cloud Computing Energy Consumption: Empirical Study;*****;2018
CAMMARAT_G(2018)611:577;93127;Cammarata, G; Energy-Aware Routing in A4SDN;ADV INTELL SYST;2018
CARORO_R(2018):;93202;Caroro, RA; Migrating Office Processes to Automation: An Evaluation on green_IT Practices in a University in the Philippines;I C HUMANOID NANOTEC;2018
CHADDAD_L(2018)29:678;93282;Chaddad, LA; Power-aware workload allocation for green data centers;MANAG ENVIRON QUAL;2018
CHIEN_A(2018)6:376;93393;Chien, AA; Characterizing curtailed and uneconomic renewable power in the mid-continent independent system operator;AIMS ENERGY;2018
FOSZNER_P(2018)10778:102;93483;Foszner, P; Bi-cluster Parallel Computing in Bioinformatics - Performance and Eco-Efficiency;LECT NOTES COMPUT SC;2018
GADE_A(2018)8:3976;93573;Gade, A; Survey on Energy Efficient Cloud: A Novel Approach towards Green Computing;HELIX;2018
GUO_P(2018)6:53671;93632;Guo, PZ; Energy-Efficient Fault-Tolerant Scheduling Algorithm for Real-Time Tasks in Cloud-Based 5G Networks;IEEE ACCESS;2018
HSIEH_Y(2018):152;93742;Hsieh, YH; Toward green_computing: Striking the Trade-off between Memory Usage and Energy Consumption of Sequential Pattern Mining on GPU;*****;2018
HUANG_J(2018):6839604;93801;Huang, J; green_computing and Communications for Smart Portable Devices;WIREL COMMUN MOB COM;2018
JANGRA_A(2018):;93852;Jangra, A; Efficient Utilization of Cloud Based IoT Services Using Ontology System;*****;2018
KALAIPRI_T(2018)11:48;93924;Kalaipriyan, T; Solving Virtual Machine placement in Cloud data centre based on Novel Firefly algorithm;BIOSCI BIOTECHNO RES;2018
LEHOLO_S(2018)64:20186401003;94051;Leholo, ST; Performance Analysis of a Hybrid Micro-Energy System for SA Data Centers;E3S WEB CONF;2018
MOGALE_H(2018):;94115;Mogale, H; Introducing DOMINO: An Eco-Friendly Asynchronous Hybrid Multicore Architecture for green_computing;*****;2018
MOLETSAN_R(2018):;94182;Moletsane, RI; Electronic Waste and its Negative Impact on Human Health and the Environment;*****;2018
ZWICKER_A(2018)8:47;94292;Zwicker, AAM; Construction of prediction model for consumption of green_information_technology;REUNIR-REV ADM CONTA;2018
MURANA_J(2018)796:21;94370;Murana, J; Power Consumption Characterization of Synthetic Benchmarks in Multicores;COMM COM INF SC;2018
NURMINEN_J(2018)11:97;94438;Nurminen, JK; Sunburn-using excess energy of small-scale production for distributed computing;ENERG EFFIC;2018
PASTOR_J(2018):344;94552;Pastor, J; SeDuCe: a Testbed for Research on Thermal and Power Management in Datacenters;*****;2018
PAUL_P(2018)8:86;94606;Paul, PK; The Context of IST for Solid Information Retrieval and Infrastructure Building: Study of Developing Country;INT J INF RETR RES;2018
PURNOMO_M(2018):1;94675;Purnomo, MH; green_computing: Opportunity of Using Breadth Fixed Gossip Algorithm for Optimizing Power Supply Route in Power Plant;*****;2018
SENAGI_K(2018):73;94741;Senagi, K; A Non-Deterministic Strategy for Searching Optimal Number of Trees Hyperparameter in Random Forest;FED CONF COMPUT SCI;2018
TARAFDAR_A(2018):114;94808;Tarafdar, A; QoS Aware Energy Efficient VM Consolidation Techniques for a Virtualized Data Center;INT CONF UTIL CLOUD;2018
TRYFONOS_A(2018):38;94889;Tryfonos, A; ENEDI: Energy Saving in Datacenters;*****;2018
WANG_X(2018)66:104;94959;Wang, XS; Multi-Priority Online Scheduling with Cancellations;OPER RES;2018
WEN_J(2018)34:1003;95055;Wen, JL; Target method approaching green_computing for active vibration control in the strapdown inertial navigation system;J INTELL FUZZY SYST;2018
ZHENG_J(2018)34:819;95113;Zheng, J; Analysis of collaborative design and construction collaborative mechanism of cloud bim platform construction project based on green computing technology;J INTELL FUZZY SYST;2018
ZYGADLO_M(2018)44:20184400202;95178;Zygadlo, M; green_computing and energy storage systems;E3S WEB CONF;2018
YANG_T(2017)77:1;95236;Yang, T; An energy-efficient virtual machine placement and route scheduling scheme in data center networks;FUTURE GENER COMP SY;2017
AHMAD_R(2017)23:10528;95332;Ahmad, R; The Impact of Database Structure on Join Query's Energy Consumption;ADV SCI LETT;2017
DIAS_G(2017)57:585;95388;Dias, GF; Green information_technology: A study in light of Belief-Action-Outcome theory;RAE-REV ADMIN EMPRES;2017
HERNANDE_A(2017)13:90;95469;Hernandez, AA; Green information_technology Usage: Awareness and Practices of Philippine IT Professionals;INT J ENTERP INF SYS;2017
CASALICC_E(2017)20:2065;95579;Casalicchio, E; Energy-aware auto-scaling algorithms for Cassandra virtual data centers;CLUSTER COMPUT;2017
AHMED_I(2017)8:208;95665;Ahmed, I; Sustainable Green SLA (GSLA) Validation using Bayesian Network Model;INT J ADV COMPUT SC;2017
ALSADOON_G(2017):;95731;ALSadoon, GMW; green_computing System, Health and Secure Environment Management System;*****;2017
ALVAREZ_J(2017)10423:229;95789;Alvarez, JD; Estimating Energy Consumption in Evolutionary Algorithms by Means of FRBS Towards Energy-Aware Bioinspired Algorithms;LECT NOTES ARTIF INT;2017
CORCORAN_D(2017):;95878;Corcoran, D; Data Driven Selection of DRX for Energy Efficient 5G RAN;INT CONF NETW SER;2017
DOUKAS_N(2017)105:23;95963;Doukas, N; Technologies for Greener Internet of Things Systems;STUD SYST DECIS CONT;2017
GEBREHIW_M(2017):1017;96016;Gebrehiwot, ME; Near-optimal policies for energy-aware task assignment in server farms;IEEE ACM INT SYMP;2017
GUO_L(2017)36:1335;96093;Guo, LZ; HEURISTIC ALGORITHMS FOR ENERGY AND PERFORMANCE DYNAMIC OPTIMIZATION IN CLOUD COMPUTING;COMPUT INFORM;2017
HAHANOV_V(2017)105:65;96187;Hahanov, V; Green Cyber-Physical Computing as Sustainable Development Model;STUD SYST DECIS CONT;2017
HAQUE_K(2017):;96252;Haque, KMR; Jol-Shinchon: Design and Development of a Sensor Based Intelligent Auto Irrigation System;*****;2017
ISMAIL_L(2017):591;96312;Ismail, L; Towards Energy-Aware Task Scheduling (EATS) Framework for Divisible-Load Applications in Cloud Computing Infrastructure;ANN IEEE SYST CONF;2017
ISMAIL_M(2017):;96377;Ismail, MB; Dynamics Resource Allocation via Virtual Machine for Cloud Computing: Statistical Approach;*****;2017
ITO_D(2017):95;96433;Ito, D; Virtual Storage and Area Limited Data Delivery over Named Data Networking;CONSUM COMM NETWORK;2017
JAYALAKS_C(2017):1496;96516;Jayalakshmi, C; GREEN LIBRARIES BY USING SMART TECHNOLOGY;*****;2017
KARTIKA_L(2017):85;96571;Kartika, LGS; green_computing Survey Based on User Behavior: A Case Study in Board of Investment and Licensing of Bali Province;*****;2017
KUMAR_N(2017):442;96644;Kumar, NPR; ENERGY ALERT BS SELECTION IN TREE BASED IOT WITH COOPERATIVE GREEN COMPUTING SENSOR NETWORK;*****;2017
LIGHT_J(2017):1287;96704;Light, J; Energy Usage Profiling for green_computing;*****;2017
LUBIS_A(2017):98;96756;Lubis, AR; A Review: The Affair of Al-Qur'an and green_computing;*****;2017
LUNGU_I(2017):13;96823;Lungu, I; FORECASTING COMPUTER PERFORMANCE USING MATHEMATICAL MODELS-AN INCREMENTAL METHOD FOR ANALYSIS OF BANKING SYSTEMS;*****;2017
MAROULIS_S(2017):2614;96879;Maroulis, S; A Framework for Efficient Energy Scheduling of Spark Workloads;INT CON DISTR COMP S;2017
NAGPAL_D(2017):25;96936;Nagpal, D; Feature Selection Approach for Reducing The Power Consumption For a Greener Environment;*****;2017
NGOKO_Y(2017):487;96997;Ngoko, Y; Reducing the number of comatose servers: automatic tuning as an opportunistic cloud-service;*****;2017
RANI_A(2017):841;97048;Rani, A; A Workload-Aware VM Placement Algorithm for Performance Improvement and Energy Efficiency in OpenStack Cloud;*****;2017
RANJITH_D(2017):632;97105;Ranjith, D; A Survey on Current Trends to Future Trends in green_computing;*****;2017
RAWAT_S(2017):351;97164;Rawat, S; An Analytical Evaluation of Challenges in Green Cloud Computing;*****;2017
RUBEL_S(2017):599;97234;Rubel, S; Software defined Tool VirtualCloud, Which help to Setup, Manage, and Audit Virtual Data Center Environment;*****;2017
SAKTHIDH_G(2017)25:173;97280;Sakthidharan, GR; Wireless Sensor Network in Automation and Internet of Things;STUD BIG DATA;2017
SHAKEEL_F(2017):1264;97338;Shakeel, F; Green Cloud Computing: A review on Efficiency of Data Centres and Virtualization of Servers;*****;2017
SHANMUGA_M(2017)8:262;97402;Shanmugam, M; REVENANT OF THE ECOSYSTEM: AN ENVIRONMENTAL BASED green_computing MODELS FOR VEHICULAR ROUTING PROBLEMS USING GENETIC ALGORITHM OPTIMIZATION APPROACH;IIOAB J;2017
SHOKOUHY_S(2017)21:;97470;Shokouhyar, S; Evaluation of green_IT Services with Fuzzy Screening Approach;AUSTRALAS J INF SYST;2017
SPYROPOU_B(2017):;97593;Spyropoulos, B;" TOWARD THE DATA-DRIVEN ""SMART"" AND ""GREEN"" HOSPITAL-CARE";*****;2017
THANAPAL_P(2017)9:444;97667;Thanapal, P; A framework for computational offloading to extend the energy of mobile devices in mobile cloud computing;INT J EMBED SYST;2017
TONG_Z(2017):4020162;97766;Tong, ZX; Greening Software Requirements Change Management Strategy Based on Nash Equilibrium;WIREL COMMUN MOB COM;2017
WILL_M(2017):449;97836;Will, MA; Secure FPGA as a Service - Towards Secure Data Processing by Physicalizing the Cloud;IEEE TRUST BIG;2017
ZAHOOR_S(2017):91;97968;Zahoor, S; The Green 2020: Impact of Smartphones on the Environment in Present and Future;*****;2017
ZHAO_J(2017):351;98060;Zhao, J; On Energy-Efficient Congestion Control for Multipath TCP;INT CON DISTR COMP S;2017
DUONG_T(2016)10:2497;98142;Duong, TQ; Special Issue: green_computing and Telecommunications Systems;IET COMMUN;2016
PANDE_P(2016)11:1;98194;Pande, PP; Introduction to special issue on International green_computing Conference (IGCC) 2014;SUSTAIN COMPUT-INFOR;2016
BYRD_G(2016)49:94;98232;Byrd, G; Let the Sun Shine;COMPUTER;2016
DEEPIKA_A(2016)7:3131;98274;Deepika, A; Multi Cloud Deployment with Migration of Virtual Resources for Effective Resource Allocation for green_computing;RES J PHARM BIOL CHE;2016
